Table S4. Phage lifestyles.	
IMGVR_UViG_3300012927_000007	Virulent
IMGVR_UViG_3300044719_000065	Temperate
IMGVR_UViG_3300044842_000104	Virulent
IMGVR_UViG_3300020582_000030	Virulent
IMGVR_UViG_3300021067_000009	Virulent
IMGVR_UViG_3300024182_000016	Temperate
IMGVR_UViG_3300028536_000017	Virulent
IMGVR_UViG_3300033475_000035	Temperate
IMGVR_UViG_3300037258_000720	Virulent
IMGVR_UViG_3300042934_000724	Temperate
IMGVR_UViG_3300046662_000020	Virulent
IMGVR_UViG_3300029643_000090	Virulent
IMGVR_UViG_3300031991_000113	Temperate
IMGVR_UViG_3300011663_000018	Temperate
IMGVR_UViG_3300041411_000301	Virulent
IMGVR_UViG_7000000289_000237	Virulent
IMGVR_UViG_3300050196_000136	Temperate
IMGVR_UViG_3300050156_000061	Temperate
IMGVR_UViG_3300049433_000139	Virulent
IMGVR_UViG_3300048920_000392	Virulent
IMGVR_UViG_3300048919_000292	Temperate
IMGVR_UViG_3300048586_000435	Virulent
IMGVR_UViG_3300047443_000189	Temperate
IMGVR_UViG_3300047320_000177	Virulent
IMGVR_UViG_3300046791_000499	Virulent
IMGVR_UViG_3300046518_000349	Temperate
IMGVR_UViG_3300046512_000272	Virulent
IMGVR_UViG_3300046507_000724	Temperate
IMGVR_UViG_3300046492_000366	Temperate
IMGVR_UViG_3300044712_000810	Virulent
IMGVR_UViG_3300043777_000338	Temperate
IMGVR_UViG_3300043105_000140	Virulent
IMGVR_UViG_3300038443_001304	Temperate
IMGVR_UViG_3300038443_001187	Virulent
IMGVR_UViG_3300037755_000828	Virulent
IMGVR_UViG_3300037483_000173	Temperate
IMGVR_UViG_3300037247_002096	Temperate
IMGVR_UViG_3300037247_001786	Virulent
IMGVR_UViG_3300037067_022550	Virulent
IMGVR_UViG_3300036770_005874	Temperate
IMGVR_UViG_3300034072_000561	Virulent
IMGVR_UViG_3300033997_000243	Virulent
IMGVR_UViG_3300033997_000092	Virulent
IMGVR_UViG_3300033151_000729	Temperate
IMGVR_UViG_3300033148_005420	Virulent
IMGVR_UViG_3300033148_002790	Virulent
IMGVR_UViG_3300032516_001574	Virulent
IMGVR_UViG_3300032373_000033	Virulent
IMGVR_UViG_3300031616_000001	Virulent
IMGVR_UViG_3300031548_000504	Virulent
IMGVR_UViG_3300031414_000428	Temperate
IMGVR_UViG_3300030516_000111	Virulent
IMGVR_UViG_3300030500_000007	Temperate
IMGVR_UViG_3300029771_000137	Temperate
IMGVR_UViG_3300029752_000008	Temperate
IMGVR_UViG_3300029676_000061	Temperate
IMGVR_UViG_3300029404_000058	Temperate
IMGVR_UViG_3300029393_000156	Temperate
IMGVR_UViG_3300029381_000016	Temperate
IMGVR_UViG_3300029380_000371	Temperate
IMGVR_UViG_3300029379_000190	Temperate
IMGVR_UViG_3300029377_000273	Temperate
IMGVR_UViG_3300029360_000193	Temperate
IMGVR_UViG_3300029354_000070	Temperate
IMGVR_UViG_3300027955_000001	Virulent
IMGVR_UViG_3300027826_000010	Virulent
IMGVR_UViG_3300027718_000114	Virulent
IMGVR_UViG_3300027365_000033	Temperate
IMGVR_UViG_3300026289_000086	Temperate
IMGVR_UViG_3300025951_000004	Virulent
IMGVR_UViG_3300025735_000004	Virulent
IMGVR_UViG_3300024921_000020	Temperate
IMGVR_UViG_3300024308_000001	Virulent
IMGVR_UViG_3300024303_001291	Virulent
IMGVR_UViG_3300023502_000163	Temperate
IMGVR_UViG_3300020027_000001	Virulent
IMGVR_UViG_3300017987_000050	Virulent
IMGVR_UViG_3300013830_000222	Temperate
IMGVR_UViG_3300012999_000015	Temperate
IMGVR_UViG_3300012997_000084	Temperate
IMGVR_UViG_3300009011_000005	Virulent
IMGVR_UViG_3300008722_000212	Temperate
IMGVR_UViG_3300008513_000012	Temperate
IMGVR_UViG_3300008268_000005	Virulent
IMGVR_UViG_3300008145_000031	Temperate
IMGVR_UViG_3300008141_000102	Temperate
IMGVR_UViG_3300008133_000197	Temperate
IMGVR_UViG_3300008126_000184	Temperate
IMGVR_UViG_3300008077_000262	Temperate
IMGVR_UViG_3300007979_000095	Temperate
IMGVR_UViG_3300007938_000035	Temperate
IMGVR_UViG_3300007753_000059	Temperate
IMGVR_UViG_3300007742_000158	Temperate
IMGVR_UViG_3300007292_000054	Temperate
IMGVR_UViG_3300007204_000105	Temperate
IMGVR_UViG_3300007124_000010	Temperate
IMGVR_UViG_3300007076_000004	Virulent
IMGVR_UViG_3300006931_000029	Virulent
IMGVR_UViG_3300006742_000101	Temperate
IMGVR_UViG_3300006463_000008	Virulent
IMGVR_UViG_3300006255_000105	Virulent
IMGVR_UViG_3300006217_002156	Temperate
IMGVR_UViG_3300006217_000172	Temperate
IMGVR_UViG_3300006217_000167	Temperate
IMGVR_UViG_3300006217_000158	Temperate
IMGVR_UViG_3300006201_000048	Temperate
IMGVR_UViG_3300006151_000035	Temperate
IMGVR_UViG_3300006149_000036	Temperate
IMGVR_UViG_3300006147_000057	Temperate
IMGVR_UViG_3300006139_000509	Temperate
IMGVR_UViG_3300006139_000344	Temperate
IMGVR_UViG_3300006056_000076	Virulent
IMGVR_UViG_3300005961_000030	Virulent
IMGVR_UViG_3300005617_000001	Virulent
IMGVR_UViG_3300005533_000004	Virulent
IMGVR_UViG_3300004247_000011	Virulent
IMGVR_UViG_3300004222_000004	Virulent
IMGVR_UViG_3300011651_000025	Temperate
IMGVR_UViG_3300010266_000197	Temperate
IMGVR_UViG_3300010939_000040	Virulent
